ds,actual_sales,yhat,yhat_lower,yhat_upper
2014-01-01,12976.287449933487,12976.287449933487,11678.658704940139,14273.916194926836
2014-01-02,12343.148586287696,12343.148586287696,11108.833727658926,13577.463444916468
2014-01-03,13130.087049226957,13130.087049226957,11817.078344304262,14443.095754149654
2014-01-04,9844.716630236313,9844.716630236313,8860.244967212682,10829.188293259946
2014-01-05,8087.052013646987,8087.052013646987,7278.346812282288,8895.757215011687
2014-01-06,12246.095819347684,12246.095819347684,11021.486237412915,13470.705401282454
2014-01-07,14057.0178106667,14057.0178106667,12651.316029600031,15462.719591733372
2014-01-08,13241.960474852458,13241.960474852458,11917.764427367212,14566.156522337706
2014-01-09,12000.921901730719,12000.921901730719,10800.829711557648,13201.014091903791
2014-01-10,13007.978177335197,13007.978177335197,11707.180359601678,14308.775995068718
2014-01-11,7842.977673362265,7842.977673362265,7058.679906026038,8627.275440698491
2014-01-12,7836.218947588446,7836.218947588446,7052.597052829602,8619.840842347292
2014-01-13,12687.372682025456,12687.372682025456,11418.63541382291,13956.109950228003
2014-01-14,10523.777401250725,10523.777401250725,9471.399661125653,11576.155141375799
2014-01-15,10702.949696631307,10702.949696631307,9632.654726968176,11773.244666294439
2014-01-16,11855.55555186348,11855.55555186348,10669.999996677132,13041.111107049828
2014-01-17,11394.156451497938,11394.156451497938,10254.740806348145,12533.572096647733
2014-01-18,8577.783679015598,8577.783679015598,7720.005311114039,9435.562046917159
2014-01-19,7347.174384571432,7347.174384571432,6612.456946114289,8081.891823028575
2014-01-20,10957.167394005284,10957.167394005284,9861.450654604756,12052.884133405814
2014-01-21,13820.97776141353,13820.97776141353,12438.879985272177,15203.075537554883
2014-01-22,12114.599582495022,12114.599582495022,10903.139624245521,13326.059540744525
2014-01-23,12392.144715802162,12392.144715802162,11152.930244221947,13631.359187382379
2014-01-24,10883.307676610037,10883.307676610037,9794.976908949033,11971.63844427104
2014-01-25,7649.416718348814,7649.416718348814,6884.475046513933,8414.358390183697
2014-01-26,8292.623843452666,8292.623843452666,7463.361459107399,9121.886227797933
2014-01-27,11102.626136679997,11102.626136679997,9992.363523011998,12212.888750347998
2014-01-28,12609.606621246612,12609.606621246612,11348.645959121952,13870.567283371274
2014-01-29,11612.786029327322,11612.786029327322,10451.50742639459,12774.064632260055
2014-01-30,11900.480717974518,11900.480717974518,10710.432646177067,13090.528789771972
2014-01-31,11568.457871474111,11568.457871474111,10411.6120843267,12725.303658621524
2014-02-01,9950.54593853744,9950.54593853744,8955.491344683696,10945.600532391185
2014-02-02,8069.098108997019,8069.098108997019,7262.188298097318,8876.007919896721
2014-02-03,11041.934979078065,11041.934979078065,9937.741481170258,12146.128476985872
2014-02-04,12897.21280386589,12897.21280386589,11607.4915234793,14186.93408425248
2014-02-05,10828.123060889051,10828.123060889051,9745.310754800146,11910.935366977958
2014-02-06,12231.413937853988,12231.413937853988,11008.27254406859,13454.555331639387
2014-02-07,10035.756857564893,10035.756857564893,9032.181171808405,11039.332543321383
2014-02-08,6650.217307252601,6650.217307252601,5985.1955765273415,7315.239037977862
2014-02-09,8156.256649369343,8156.256649369343,7340.630984432409,8971.882314306278
2014-02-10,12648.36664758787,12648.36664758787,11383.529982829084,13913.203312346659
2014-02-11,12051.403192022684,12051.403192022684,10846.262872820416,13256.543511224954
2014-02-12,11733.85860608576,11733.85860608576,10560.472745477184,12907.244466694337
2014-02-13,11517.221744711014,11517.221744711014,10365.499570239914,12668.943919182117
2014-02-14,10307.97821430614,10307.97821430614,9277.180392875527,11338.776035736755
2014-02-15,7116.183135452127,7116.183135452127,6404.564821906914,7827.80144899734
2014-02-16,7353.333162879123,7353.333162879123,6617.99984659121,8088.6664791670355
2014-02-17,12744.38330313472,12744.38330313472,11469.94497282125,14018.821633448193
2014-02-18,11996.579238259252,11996.579238259252,10796.921314433326,13196.237162085177
2014-02-19,9855.027949342559,9855.027949342559,8869.525154408304,10840.530744276815
2014-02-20,11906.677284097046,11906.677284097046,10716.009555687342,13097.345012506752
2014-02-21,11161.465246021211,11161.465246021211,10045.31872141909,12277.611770623333
2014-02-22,6996.37257470566,6996.37257470566,6296.735317235094,7696.009832176226
2014-02-23,8260.201366962714,8260.201366962714,7434.181230266443,9086.221503658986
2014-02-24,12466.095775536323,12466.095775536323,11219.486197982691,13712.705353089957
2014-02-25,12328.159516859141,12328.159516859141,11095.343565173227,13560.975468545057
2014-02-26,10518.931317395662,10518.931317395662,9467.038185656096,11570.824449135229
2014-02-27,11009.704153397732,11009.704153397732,9908.73373805796,12110.674568737506
2014-02-28,11610.4579974065,11610.4579974065,10449.41219766585,12771.50379714715
2014-03-01,8468.20859680041,8468.20859680041,7621.38773712037,9315.029456480452
2014-03-02,6986.379659577024,6986.379659577024,6287.741693619321,7685.017625534727
2014-03-03,10971.555059626646,10971.555059626646,9874.399553663981,12068.710565589312
2014-03-04,10009.322486862951,10009.322486862951,9008.390238176657,11010.254735549248
2014-03-05,9877.467318414736,9877.467318414736,8889.720586573263,10865.21405025621
2014-03-06,11843.802259196198,11843.802259196198,10659.422033276578,13028.182485115818
2014-03-07,12344.718057216818,12344.718057216818,11110.246251495137,13579.189862938501
2014-03-08,7224.851163945306,7224.851163945306,6502.366047550776,7947.336280339838
2014-03-09,8271.353876248048,8271.353876248048,7444.218488623243,9098.489263872852
2014-03-10,11219.446120880324,11219.446120880324,10097.501508792291,12341.390732968357
2014-03-11,10168.421621739508,10168.421621739508,9151.579459565557,11185.263783913459
2014-03-12,11130.334587477897,11130.334587477897,10017.301128730107,12243.368046225687
2014-03-13,12262.053257806947,12262.053257806947,11035.847932026252,13488.258583587643
2014-03-14,10642.962345678292,10642.962345678292,9578.666111110462,11707.258580246122
2014-03-15,8653.489015990628,8653.489015990628,7788.1401143915655,9518.837917589692
2014-03-16,4438.568048741819,4438.568048741819,3994.7112438676377,4882.424853616002
2014-03-17,11363.310116978015,11363.310116978015,10226.979105280214,12499.641128675818
2014-03-18,10582.143004667554,10582.143004667554,9523.928704200798,11640.35730513431
2014-03-19,10149.541677402583,10149.541677402583,9134.587509662326,11164.495845142843
2014-03-20,10493.542067426368,10493.542067426368,9444.18786068373,11542.896274169005
2014-03-21,8367.238287457598,8367.238287457598,7530.514458711838,9203.962116203358
2014-03-22,6652.088983003812,6652.088983003812,5986.880084703431,7317.297881304194
2014-03-23,7197.311379802575,7197.311379802575,6477.5802418223175,7917.042517782834
2014-03-24,11690.686633996214,11690.686633996214,10521.617970596593,12859.755297395837
2014-03-25,9646.86894253018,9646.86894253018,8682.182048277162,10611.555836783198
2014-03-26,9308.85909934585,9308.85909934585,8377.973189411265,10239.745009280436
2014-03-27,9567.690991838761,9567.690991838761,8610.921892654886,10524.460091022638
2014-03-28,10936.84214225183,10936.84214225183,9843.157928026647,12030.526356477014
2014-03-29,6977.646824159444,6977.646824159444,6279.882141743499,7675.411506575389
2014-03-30,6087.022204690822,6087.022204690822,5478.31998422174,6695.724425159905
2014-03-31,10390.21254525339,10390.21254525339,9351.191290728051,11429.233799778729
2014-04-01,9925.750608922819,9925.750608922819,8933.175548030538,10918.325669815102
2014-04-02,10749.01745523803,10749.01745523803,9674.115709714228,11823.919200761835
2014-04-03,9030.005259170493,9030.005259170493,8127.004733253444,9933.005785087544
2014-04-04,9356.083614871557,9356.083614871557,8420.475253384402,10291.691976358714
2014-04-05,6031.525002686002,6031.525002686002,5428.372502417402,6634.6775029546025
2014-04-06,4927.941929206403,4927.941929206403,4435.147736285763,5420.736122127044
2014-04-07,9835.08782952469,9835.08782952469,8851.57904657222,10818.596612477158
2014-04-08,9751.866752909098,9751.866752909098,8776.680077618188,10727.053428200008
2014-04-09,9447.845584130922,9447.845584130922,8503.06102571783,10392.630142544016
2014-04-10,9160.157370598246,9160.157370598246,8244.141633538422,10076.173107658073
2014-04-11,7931.492859467329,7931.492859467329,7138.343573520597,8724.642145414064
2014-04-12,5778.757601963531,5778.757601963531,5200.881841767178,6356.633362159884
2014-04-13,5824.940016043216,5824.940016043216,5242.446014438895,6407.434017647538
2014-04-14,8401.733472470163,8401.733472470163,7561.560125223147,9241.90681971718
2014-04-15,8995.420371120179,8995.420371120179,8095.878334008161,9894.962408232197
2014-04-16,9513.633503996565,9513.633503996565,8562.270153596908,10464.996854396222
2014-04-17,10948.841114573492,10948.841114573492,9853.957003116142,12043.725226030841
2014-04-18,9190.51632167442,9190.51632167442,8271.464689506978,10109.567953841863
2014-04-19,6237.1818612344505,6237.1818612344505,5613.463675111006,6860.900047357896
2014-04-20,5874.351361923767,5874.351361923767,5286.916225731391,6461.786498116145
2014-04-21,6958.427974126259,6958.427974126259,6262.585176713633,7654.270771538885
2014-04-22,8804.957628803568,8804.957628803568,7924.461865923211,9685.453391683925
2014-04-23,8846.257477974072,8846.257477974072,7961.631730176665,9730.88322577148
2014-04-24,11204.122923156414,11204.122923156414,10083.710630840773,12324.535215472057
2014-04-25,8503.685415888804,8503.685415888804,7653.316874299923,9354.053957477685
2014-04-26,6069.23943624082,6069.23943624082,5462.315492616738,6676.163379864903
2014-04-27,5703.535006399821,5703.535006399821,5133.18150575984,6273.888507039804
2014-04-28,7394.878391715648,7394.878391715648,6655.390552544083,8134.3662308872135
2014-04-29,9662.93363134911,9662.93363134911,8696.640268214198,10629.22699448402
2014-04-30,9228.980137278966,9228.980137278966,8306.08212355107,10151.878151006864
2014-05-01,9225.410910947887,9225.410910947887,8302.869819853098,10147.952002042677
2014-05-02,7482.732500519943,7482.732500519943,6734.459250467949,8231.005750571938
2014-05-03,6969.649993957683,6969.649993957683,6272.684994561915,7666.6149933534525
2014-05-04,4137.404269467333,4137.404269467333,3723.6638425205992,4551.144696414066
2014-05-05,8854.78867462462,8854.78867462462,7969.309807162159,9740.267542087084
2014-05-06,10417.897974713469,10417.897974713469,9376.108177242122,11459.687772184818
2014-05-07,7196.891923746764,7196.891923746764,6477.202731372088,7916.5811161214415
2014-05-08,7581.604362671798,7581.604362671798,6823.443926404619,8339.764798938979
2014-05-09,8208.527917120118,8208.527917120118,7387.675125408106,9029.38070883213
2014-05-10,4876.767118329782,4876.767118329782,4389.090406496804,5364.443830162761
2014-05-11,3804.2547665960674,3804.2547665960674,3423.8292899364606,4184.680243255674
2014-05-12,8063.491174665111,8063.491174665111,7257.1420571986,8869.840292131623
2014-05-13,6895.725235733811,6895.725235733811,6206.15271216043,7585.297759307193
2014-05-14,8395.283899304024,8395.283899304024,7555.755509373622,9234.812289234427
2014-05-15,6966.503285688977,6966.503285688977,6269.852957120079,7663.153614257875
2014-05-16,9400.68310617053,9400.68310617053,8460.614795553478,10340.751416787585
2014-05-17,4427.524335838897,4427.524335838897,3984.7719022550073,4870.276769422787
2014-05-18,4866.066484896251,4866.066484896251,4379.459836406626,5352.673133385876
2014-05-19,8562.353680167038,8562.353680167038,7706.1183121503345,9418.589048183743
2014-05-20,6485.246414434201,6485.246414434201,5836.721772990782,7133.771055877622
2014-05-21,7911.485464016285,7911.485464016285,7120.336917614656,8702.634010417914
2014-05-22,8959.734151362616,8959.734151362616,8063.760736226354,9855.707566498879
2014-05-23,6014.335449848143,6014.335449848143,5412.901904863329,6615.768994832958
2014-05-24,5245.778892305489,5245.778892305489,4721.20100307494,5770.356781536038
2014-05-25,5301.414768052697,5301.414768052697,4771.273291247428,5831.556244857967
2014-05-26,8315.392553764717,8315.392553764717,7483.853298388246,9146.93180914119
2014-05-27,6268.591570631299,6268.591570631299,5641.732413568169,6895.45072769443
2014-05-28,6157.768509826601,6157.768509826601,5541.991658843941,6773.545360809262
2014-05-29,7973.568929201702,7973.568929201702,7176.212036281532,8770.925822121873
2014-05-30,7722.74262509389,7722.74262509389,6950.468362584501,8495.016887603279
2014-05-31,5184.243266511078,5184.243266511078,4665.818939859971,5702.667593162187
2014-06-01,5263.940811323374,5263.940811323374,4737.546730191037,5790.334892455712
2014-06-02,6672.581370602399,6672.581370602399,6005.323233542159,7339.839507662639
2014-06-03,7561.9889748590085,7561.9889748590085,6805.790077373108,8318.18787234491
2014-06-04,7600.706795491735,7600.706795491735,6840.636115942561,8360.777475040908
2014-06-05,6571.959445876619,6571.959445876619,5914.763501288957,7229.1553904642815
2014-06-06,9131.54682516893,9131.54682516893,8218.392142652037,10044.701507685824
