ds,yhat,yhat_lower,yhat_upper
2014-01-02,7306.649099424326,225.14633625661713,13821.973231073021
2014-01-03,7380.969304992785,1010.9621016205116,13600.32670466263
2014-01-04,7543.716398063588,944.4218094549263,14785.320988280882
2014-01-05,7914.926397459805,1082.9796060607457,14761.240760512272
2014-01-07,7739.872788605035,1498.6333664259703,14363.583263943528
2014-01-09,7399.099013439026,619.9244140225208,14207.33916069196
2014-01-10,7401.889233636103,918.9772702447749,14365.315055172512
2014-01-11,7489.902897128994,889.1320692680749,14085.362306955169
2014-01-12,7785.076384231924,791.9152301925187,14237.893786360017
2014-01-13,6691.410783442938,-279.46775357177415,13102.276599177556
2014-01-14,7461.936869770774,1291.2475398801932,14352.959999587176
2014-01-15,7917.924825323277,1512.34504930406,14863.548038061015
2014-01-16,6990.673507392041,270.5042330651018,13510.08628989068
2014-01-17,6939.008394252217,732.324517821074,13788.211345316375
2014-01-18,6981.6658730060335,805.8910229810956,13978.147826494582
2014-01-20,6124.236490143448,-579.5513045273902,12639.38636458697
2014-01-21,6882.534743328364,38.59671269482948,13314.28752551536
2014-01-22,7338.452451017845,593.9100984349988,13993.596230570221
2014-01-23,6423.453060644531,134.08344431800742,13029.375604083292
2014-01-24,6395.899254373703,-540.9346184150903,13229.232799489031
2014-01-25,6474.103172421948,-432.6635523769249,12909.499369634234
2014-01-26,6780.364716395251,224.65915132327095,14125.312065534088
2014-01-27,5718.914681840979,-496.2017479665368,12243.597678340799
2014-01-28,6541.53687707471,-540.8996794166382,13723.653325070196
2014-01-30,6231.1136186104695,-222.4951421092985,13544.331246065207
2014-01-31,6284.647806808611,-566.5884357330224,12886.239845876977
2014-02-01,6446.242848614148,129.46052825507402,13091.751448635878
2014-02-02,6836.500073124945,381.1642628965475,13371.684674926879
2014-02-03,5858.151057718817,-953.5101602314221,12385.629475073705
2014-02-04,6761.041361481535,176.18780010405007,13456.246016164558
2014-02-05,7364.572414463769,-44.825756198971646,14261.354402140463
2014-02-06,6597.533514689136,163.9504723960041,13734.38745102564
2014-02-07,6714.98370951348,36.6989411150769,13639.212546301662
2014-02-08,6932.6758033080505,474.11399029116393,13735.467038527438
2014-02-09,7370.339618164191,552.3609225908814,14208.502330544603
2014-02-10,6430.216158076208,-152.05023405626093,13000.231715455131
2014-02-11,7361.370767359263,586.9760703852825,14044.367170042913
2014-02-13,7224.553483213137,1131.6399542025567,14443.505766044595
2014-02-14,7340.439977751508,937.9400173247935,14314.076199207953
2014-02-15,7547.029976673957,577.4259177838665,14077.493638924656
2014-02-16,7964.5458977933185,1422.228720226858,14793.157503691753
2014-02-17,6996.0388045557065,769.741721332148,13844.625585916965
2014-02-18,7891.001895073173,1310.797661079897,14513.438334163722
2014-02-19,8469.904855013907,2217.2088751752576,15510.502292226898
2014-02-20,7662.647961977184,845.9388022634832,13945.424697751056
2014-02-21,7724.951880528692,909.1837699971192,14127.506719596895
2014-02-22,7874.054320847982,1174.6191694602915,14668.090765373612
2014-02-23,8231.140103936434,1866.2248888111735,15513.179602289458
2014-02-24,7200.373831967016,643.4011836129717,14157.360860414165
2014-02-26,8547.019342020902,1879.6001909340782,15144.435672002179
2014-03-02,8065.930091303708,1233.020444624634,14639.280188818855
2014-03-03,6980.645938803834,741.6158517993962,13672.313518805548
2014-03-04,7760.655367441294,647.4568382301969,14104.495256850141
2014-03-07,7274.621375492933,713.3305880010253,13956.47355314151
2014-03-08,7328.176706191618,1001.4020647163039,13867.858754749694
2014-03-10,6484.648991472748,-310.49612805000856,13213.732888859704
2014-03-11,7242.552994137971,401.1511738449589,14253.602841122383
2014-03-12,7692.631309384523,1042.5779466403205,14000.458017830282
2014-03-13,6766.274137517342,263.36870334338903,14079.49380368618
2014-03-14,6719.542449908668,291.3901698107156,13468.040260379188
2014-03-15,6770.83737503943,-152.70874608762819,13880.173252478035
2014-03-16,7042.117855109557,516.1771611187268,14053.561558697382
2014-03-17,5938.749320599413,-731.9167055487305,12650.796020122909
2014-03-18,6710.39961040743,374.2214496490067,13095.106135790242
2014-03-19,7179.7966083963565,715.9743462058091,14187.15921198301
2014-03-20,6278.477945806356,-30.514984497548586,13054.961444569966
2014-03-22,6349.541180758235,-413.4199337245892,12988.615571911274
2014-03-23,6662.1158464580185,195.79384876974305,13003.127987647784
2014-03-25,6427.9681356222845,-395.1895585816009,12782.21925674342
2014-03-26,6952.717814597732,24.490209477978116,13835.61132840965
2014-03-27,6110.580267744566,-411.7244884228514,12790.33193306399
2014-03-28,6156.435955494836,-490.93385485491467,12832.514098379308
2014-03-29,6307.946504042535,-415.10029445945526,13222.21547943065
2014-03-30,6685.951351181796,-86.52126729853715,12779.139901924917
2014-03-31,5694.853071124292,-392.0464173725922,11989.359447043784
2014-04-01,6582.163412830442,-76.89784618369468,13245.100763637533
2014-04-02,7169.387300867758,986.6761850781711,13458.629088478505
2014-04-03,6386.441406589274,-473.0523218601356,12772.194419913967
2014-04-04,6486.688040753048,-109.62187815066238,13452.746537282792
2014-04-05,6686.588186571706,339.799351902171,13555.448263887198
2014-04-08,7057.9870734211245,673.1300873539547,13387.949391754637
2014-04-09,7658.020403997305,1106.1397237534084,14379.712119866344
2014-04-10,6876.856698601419,584.5395061968557,13481.148265731706
2014-04-11,6967.0711168128955,52.94313589558982,13367.583218812577
2014-04-12,7144.881507788316,188.90557610208418,13372.298654111346
2014-04-13,7529.787991427534,1086.1048564908226,14188.163631346397
2014-04-14,6525.550152094389,-504.3619588405403,13323.989142948449
2014-04-16,7910.218778619601,650.5161244347988,14335.157762012117
2014-04-17,7051.367569743137,334.4009512106594,13453.735028962014
2014-04-18,7055.557639842041,430.87387152438436,14127.947555746026
2014-04-19,7140.689194141125,1258.018275975825,13786.901338018515
2014-04-22,7075.7033337980265,453.2390229851409,13691.209266923799
2014-04-23,7508.398372662323,486.9600917491519,14497.741897117556
2014-04-24,6554.745903696012,-9.456007292364223,12996.377329843612
2014-04-25,6470.604800731121,-404.4682146578805,13050.584096764916
2014-04-27,6695.471479923359,-122.70073884341775,13450.107928625268
2014-04-29,6248.465514653237,-212.47580900019057,12727.804601902211
2014-04-30,6658.189306320442,-226.80368529633728,13519.840702014819
2014-05-01,5699.823976761048,-740.6942471397209,12418.971518475393
2014-05-02,5629.942034029377,-873.7095723405441,12442.844655493802
2014-05-04,5942.254500134202,-582.5633655748011,13049.596941511998
2014-05-07,6178.914446770561,-576.1630824839449,12600.040881339097
2014-05-09,5414.649500808341,-1228.9965833914484,12071.227903111254
2014-05-12,5114.808511939055,-1720.1120509387276,11856.02441269519
2014-05-13,6085.622590584808,-573.7772070310356,12801.020400711168
2014-05-14,6770.6473396656875,361.9360112133984,13323.828090490064
2014-05-15,6099.418989754668,-456.44548751404005,12595.90361432782
2014-05-16,6322.6036199633845,-180.67002490266714,13260.11933741763
2014-05-17,6655.615143008482,-137.92397536239233,12813.345413693232
2014-05-18,7216.235863168327,675.5101547866192,14133.784813319056
2014-05-19,6406.964452807996,-59.37864989167493,12989.240588425537
2014-05-20,7469.904051344014,764.6542948069806,14157.53365569476
2014-05-21,8225.133256367291,1935.8931953541608,15180.239707658375
2014-05-22,7600.485040650829,1229.6401033850998,14117.987028811476
2014-05-23,7845.054564530625,1033.5573661139777,14308.956056462843
2014-05-24,8173.509401816267,1783.8566644830826,15400.730131766526
2014-05-26,7837.43499994917,1142.6286345003377,14812.301904867487
2014-05-28,9467.883184657763,2453.970446436684,15739.526993151176
2014-06-01,9329.119206343978,2345.0925566617825,15341.633186194318
2014-06-02,8275.076944424452,1434.3419505261345,14830.889055470803
2014-06-03,9060.997105882696,2324.7709408046744,15692.272636002986
2014-06-04,9512.528274954278,2839.1511157374775,16440.835389249187
2014-06-06,8468.412097944934,1746.725005475328,15381.570095361994
2014-06-08,8628.638657138346,2387.3757342125054,15119.385819811825
2014-06-10,8064.746056446214,1705.85112161652,15207.859778420661
2014-06-11,8397.769964126765,1368.8332408009207,15340.110936005796
2014-06-14,7118.967303936047,659.9528908475078,13783.185519440309
2014-06-15,7277.011158587415,803.4683697615205,14315.400496559228
2014-06-16,6069.750875421568,-308.1714902948859,12332.547160319828
2014-06-17,6744.591762255667,194.96080449141456,13483.382723603858
2014-06-18,7128.8994306914765,895.5234755542067,13998.745143746655
2014-06-19,6156.956052356374,-184.8916162577699,12286.72956022572
2014-06-20,6082.435292877843,-731.5809485924489,13057.88563402189
2014-06-21,6125.227403587217,-377.0148651253848,12839.033314393908
2014-06-22,6406.959817152522,-102.45351134736121,13187.068006619718
2014-06-24,6152.051758647006,-633.9540098102133,12908.994108809022
2014-06-25,6683.465399387869,50.443574884112664,13177.901889558485
2014-06-26,5859.900677529699,-571.392662423252,12250.479292560509
2014-06-27,5931.503538692898,-1110.5327252037393,12069.134641881228
2014-06-28,6115.093871189684,-594.5591004533223,12816.361983060518
